"paID","waterBuffer","landQualityMin","qualitySurface","kernelScale","metricVariant","nonProtectedPenalty","factorOrder","nameEco","paPriority","paArea","priority","scnID"
4354,0,0,"Venter",5,"samcB2",1,173,"AtlanticMaritime",1,1036471105.72366,1,55
4354,0,100,"Venter",5,"samcB2",1,175,"AtlanticMaritime",1,1036471105.72366,1,56
4354,0,0,"Kennedy",20,"samcB2",1,185,"AtlanticMaritime",1,1036471105.72366,1,57
4354,0,100,"Kennedy",20,"samcB2",1,187,"AtlanticMaritime",1,1036471105.72366,1,58
4354,0,0,"Venter",20,"samcB2",1,189,"AtlanticMaritime",1,1036471105.72366,1,59
4354,0,100,"Venter",20,"samcB2",1,191,"AtlanticMaritime",1,1036471105.72366,1,60
4354,0,0,"Kennedy",2,"samcB20",1,201,"AtlanticMaritime",1,1036471105.72366,1,61
4354,0,100,"Kennedy",2,"samcB20",1,203,"AtlanticMaritime",1,1036471105.72366,1,62
4354,0,0,"Venter",2,"samcB20",1,205,"AtlanticMaritime",1,1036471105.72366,1,63
4354,0,100,"Venter",2,"samcB20",1,207,"AtlanticMaritime",1,1036471105.72366,1,64
4354,0,0,"Kennedy",5,"samcB20",1,209,"AtlanticMaritime",1,1036471105.72366,1,65
4354,0,100,"Kennedy",5,"samcB20",1,211,"AtlanticMaritime",1,1036471105.72366,1,66
4354,0,0,"Venter",5,"samcB20",1,213,"AtlanticMaritime",1,1036471105.72366,1,67
4354,0,100,"Venter",5,"samcB20",1,215,"AtlanticMaritime",1,1036471105.72366,1,68
4354,0,0,"Kennedy",20,"samcB20",1,225,"AtlanticMaritime",1,1036471105.72366,1,69
4354,0,100,"Kennedy",20,"samcB20",1,227,"AtlanticMaritime",1,1036471105.72366,1,70
4354,0,0,"Venter",20,"samcB20",1,229,"AtlanticMaritime",1,1036471105.72366,1,71
4354,0,100,"Venter",20,"samcB20",1,231,"AtlanticMaritime",1,1036471105.72366,1,72
4354,0,0,"Kennedy",2,"exponential",0.5,321,"AtlanticMaritime",1,1036471105.72366,1,73
4354,0,0,"Venter",2,"exponential",0.5,325,"AtlanticMaritime",1,1036471105.72366,1,74
4354,0,0,"Kennedy",5,"exponential",0.5,329,"AtlanticMaritime",1,1036471105.72366,1,75
4354,0,0,"Venter",5,"exponential",0.5,333,"AtlanticMaritime",1,1036471105.72366,1,76
4354,0,0,"Kennedy",20,"exponential",0.5,345,"AtlanticMaritime",1,1036471105.72366,1,77
4354,0,0,"Venter",20,"exponential",0.5,349,"AtlanticMaritime",1,1036471105.72366,1,78
4354,0,0,"Kennedy",2,"uniform",0.5,361,"AtlanticMaritime",1,1036471105.72366,1,79
4354,0,0,"Venter",2,"uniform",0.5,365,"AtlanticMaritime",1,1036471105.72366,1,80
4354,0,0,"Kennedy",5,"uniform",0.5,369,"AtlanticMaritime",1,1036471105.72366,1,81
4354,0,0,"Venter",5,"uniform",0.5,373,"AtlanticMaritime",1,1036471105.72366,1,82
4354,0,0,"Kennedy",20,"uniform",0.5,385,"AtlanticMaritime",1,1036471105.72366,1,83
4354,0,0,"Venter",20,"uniform",0.5,389,"AtlanticMaritime",1,1036471105.72366,1,84
4354,0,0,"Kennedy",2,"samcM2",0.5,401,"AtlanticMaritime",1,1036471105.72366,1,85
4354,0,0,"Venter",2,"samcM2",0.5,405,"AtlanticMaritime",1,1036471105.72366,1,86
4354,0,0,"Kennedy",5,"samcM2",0.5,409,"AtlanticMaritime",1,1036471105.72366,1,87
4354,0,0,"Venter",5,"samcM2",0.5,413,"AtlanticMaritime",1,1036471105.72366,1,88
4354,0,0,"Kennedy",20,"samcM2",0.5,425,"AtlanticMaritime",1,1036471105.72366,1,89
4354,0,0,"Venter",20,"samcM2",0.5,429,"AtlanticMaritime",1,1036471105.72366,1,90
4354,0,0,"Kennedy",2,"samcM20",0.5,441,"AtlanticMaritime",1,1036471105.72366,1,91
4354,0,0,"Venter",2,"samcM20",0.5,445,"AtlanticMaritime",1,1036471105.72366,1,92
